Isolate, 10,16 ,22,10_sd,16_sd,22_sd
Armillaria gallica FP102531 C6D (south) *,0.3,0.36,0.34,0.05,0.05,0.06
Armillaria gallica EL8 A6F (north) *,0.18,0.26,0.38,0.06,0.05,0.15
Armillaria gallica FP102534 A5A (south) *,0.26,0.24,0.32,0.05,0.05,0.06
Armillaria gallica FP102535 A5D (south) *,0.16,0.3,0.24,0.05,0.05,0.06
Armillaria gallica FP102542 A5B (south) *,0.2,0.24,0.4,0.05,0.05,0.06
Armillaria gallica HHB12551 C6C (north) *,0.14,0.32,0.48,0.06,0.05,0.15
Armillaria gallica OC1 A6E (north) *,0.2,0.26,0.36,0.06,0.05,0.15
Armillaria gallica SH1 A4A (north) *,0.06,0.18,0.66,0.06,0.05,0.15
Armillaria sinapina PR9,0.33,0.6,0.84,0.04,0.05,0.07
Armillaria tabescens FP102622 A3C,0.35,0.6,0.93,0.03,0.04,0.16
Armillaria tabescens TJV93 261 A1E,0.32,0.68,1.56,0.03,0.13,0.06
Fomes fomentarius TJV93 7 A3E,0.36,1.28,4.62,0.08,0.22,0.24
Hyphodontia crustosa HHB13392 B7B,1.2,0.99,1.77,0.03,0.07,0.2
Hyphoderma setigerum HHB12156 B3H,1.39,3.7,6.46,0.06,0.1,0.17
Hyphoderma setigerum FP150263 B2C,0.44,1.9,4.68,0.03,0.06,0.22
Laetiporus conifericola HHB15411 C8B,1.08,3.31,6,0.78,0.13,0.3
Lentinus crinitus PR2058 C1B,1.64,3.06,6.17,0,0.09,0.12
Mycoacia meridionalis FP150352 C4E,0.36,1.1,1.6,0.01,0.01,0
Merulius tremullosus FP102301 C3E,3.3,5.85,8.67,0.1,2.31,0.56
Merulius tremellosus FP150849 C3F,3.4,6.5,8.33,0,2.24,0.39
Phlebiopsis flavidoalba FP102185 B12D,2.28,5.7,8.41,0.08,0.2,0.74
Phlebiopsis flavidoalba FP150451 A8G,3.04,7.4,10.57,0.05,0,0.15
Phellinus gilvus HHB11977 C4H,1.4,1.53,3.7,0.05,0.18,0
Phellinus hartigii DMR94 44 A10E,0.49,1.26,0.94,0.12,0.07,0.1
Porodisculus pendulus HHB13576 B12C,0.95,1.25,2.9,0.25,0.2,0.74
Phellinus robiniae FP135708 A10G,0.39,1.52,3.32,0.02,0.03,0.11
Phellinus robiniae AZ15 A10H Banik/Mark,0.39,1.24,2.84,0.02,0.01,0.07
Phlebia acerina MR4280 B9G,3.7,7.4,8.27,0,0,0.09
Phlebia acerina DR60 A8A,3.7,7.4,8.23,0,0,0.3
Pycnoporus sanguineus PR SC 95 A11C,0.81,3.21,7.26,0.03,0.07,0.17
Schizophyllum commune TJV93 5 A10A,1.88,3.32,7.4,0.25,0.08,0
Schizophyllum commune PR1117,1.06,1.64,4.6,0.04,0,0.41
Tyromyces chioneus HHB11933 B10F,1.92,3.37,5.67,0.13,0.1,0.12
Xylobolus subpileatus FP102567 A11A,0.74,1,1.04,0.1,0.09,0.09

