Isolate,10,16 ,22 ,geometric mean,10_sd,16_sd,22_sd
Armillaria gallica FP102531 C6D,4.07,10.21,17.12,8.93,1.61,2.76,1.87
Armillaria gallica EL8 A6F,3.2,1.89,15.42,4.54,1.17,1.26,5.1
Armillaria gallica FP102534 A5A,2.94,6.09,11,5.81,1.12,3.16,1.36
Armillaria gallica FP102535 A5D,3.78,7.23,12.3,6.95,0.87,3.51,2.72
Armillaria gallica FP102542 A5B,2.35,5.9,9.2,5.03,1.28,4.9,3.53
Armillaria gallica HHB12551 C6C,2.03,0.11,39.51,2.04,1.07,0.16,17.94
Armillaria gallica OC1 A6E,2.29,1.92,9.26,3.44,0.51,2.2,2.08
Armillaria gallica SH1 A4A,2.18,0.34,10.78,2.00,0.47,0.4,2.99
Armillaria sinapina PR9,1.72,6.76,8.28,4.58,0.83,1.47,1.12
Armillaria tabescens FP102622 A3C,3.56,0.14,13.28,1.89,0.75,0.22,7.89
Armillaria tabescens TJV93 261 A1E,2.83,3.67,12.75,5.10,0.59,1.37,2.78
Fomes fomentarius TJV93 7 A3E,10.41,21.26,47.24,21.87,1.81,11.9,28.68
Hyphodontia crustosa HHB13392 B7B,4.29,13.38,13.62,9.21,1.01,5.67,5.92
Hyphoderma setigerum HHB12156 B3H,5.64,6.28,12.45,7.61,1.49,0.85,3.01
Hyphoderma setigerum FP150263 B2C,2.67,5.63,18.82,6.57,1.02,0.61,9.96
Laetiporus conifericola HHB15411 C8B,2.29,20.28,7.6,7.07,0.19,9.79,7.49
Lentinus crinitus PR2058 C1B,3.47,9.3,16.01,8.02,0.99,2.28,7.58
Mycoacia meridionalis FP150352 C4E,2.16,5.67,7.96,4.60,1.01,1.35,1.21
Merulius tremullosus FP102301 C3E,22.78,32.27,53.5,34.01,2.58,9.91,4.78
Merulius tremellosus FP150849 C3F,13.52,15.95,43.91,21.15,1.51,1.79,11.72
Phlebiopsis flavidoalba FP102185 B12D,11.18,18.52,27.94,17.95,2.91,14.63,9.43
Phlebiopsis flavidoalba FP150451 A8G,6.4,8.89,25.93,11.38,1.17,1.82,17.2
Phellinus gilvus HHB11977 C4H,5.15,19.47,42.09,16.16,2.24,7.45,18.84
Phellinus hartigii DMR94 44 A10E,2.3,12.86,17.39,8.01,0.27,4.8,12.86
Porodisculus pendulus HHB13576 B12C,2.61,2.43,4.36,3.02,0.58,0.55,0.51
Phellinus robiniae FP135708 A10G,3.68,4.52,8.28,5.17,0.49,0.96,4.79
Phellinus robiniae AZ15 A10H Banik/Mark,2.22,6.12,26.29,7.10,0.9,1.99,2.09
Phlebia acerina MR4280 B9G *,11.88,24.59,16.18,16.78,2.99,8.28,8.47
Phlebia acerina DR60 A8A *,5.97,21.1,73.39,20.98,2.14,1.89,10.22
Pycnoporus sanguineus PR SC 95 A11C,4.44,18.3,37.43,14.49,0.59,9.26,13.34
Schizophyllum commune TJV93 5 A10A,3.92,2.02,12.69,4.65,1.24,2.07,3.52
Schizophyllum commune PR1117,2.55,3.32,6.87,3.88,1.11,1.19,0.61
Tyromyces chioneus HHB11933 B10F,5.35,16.74,29.06,13.75,1.46,3.65,9.35
Xylobolus subpileatus FP102567 A11A,2.17,7.45,8.55,5.17,1.61,4.17,6.37
